type,caption,comments_count,likes_count,timestamp
Video,"pov youre the chosen one 

myzudio 

tc apply",40,8851,2025-01-09 12:40:13+00:00
Video,"no more secrets sale prices dropped to 299 or less 

myzudio 

tc apply",97,3351,2025-01-14 18:31:09+00:00
Video,"pov you told yourself youd only buy one thing but the zudio sale had other plans 

myzudio 

tcs apply",60,6615,2025-01-02 08:41:02+00:00
Image,"everything sale at 499 or less

myzudio 

tcs apply",154,3762,2024-12-31 05:54:04+00:00
Video,"drop a  if youre ready for the new szn

myzudio",29,1077,2025-01-22 14:32:49+00:00
Video,"we asked they spilled zudio sale  1010 vibes 

myzudio 

tcs apply",344,44724,2025-01-02 13:27:51+00:00
Video,"turning every hour into golden hour with this fit 

myzudio",113,3234,2024-12-20 15:05:46+00:00
Image,"everything sale at 499 or less

myzudio 

tcs apply",159,1926,2024-12-31 05:54:22+00:00
Video,"she came she shopped she conquered and then shopped some more 

myzudio 

tcs apply",158,11918,2024-12-31 13:30:01+00:00
Sidecar,"highkey obsessed with these sale fits  

which one are you picking slide 1 slide 2 slide 3 or slide 4

everything on sale at 499 or less shop now

myzudio 

tcs apply",47,2920,2025-01-01 13:34:56+00:00
Video,"add to cart more like add everything 

myzudio 

tc apply",20,1446,2025-01-08 12:43:06+00:00
Video,"you dont need girl math when the outfits are so good and the prices are so low 

myzudio 

tcs apply",61,8646,2025-01-03 14:30:59+00:00
Video,"bts of us getting excited for the big day tomorrow 

myzudio

tcs apply",228,34435,2024-12-30 13:34:40+00:00
Video,"the sale brings out all kinds of personalities spot your twin tell us which one you are 

myzudio 

tcs apply",72,6719,2025-01-05 11:30:00+00:00
Video,"comment secret and we reply with a hint

myzudio

tcs apply",3135,6965,2024-12-29 14:42:02+00:00
Video,"run to your nearest store now and make sure youre faster than the rest 

myzudio 

tcs apply",191,16468,2024-12-30 18:30:41+00:00
Video,"real ones sync without trying 

myzudio",62,2583,2024-12-08 12:33:56+00:00
Video,"three guys one mission light up the party 

myzudio",68,7043,2024-12-19 12:30:00+00:00
Video,"serving full disco ball energy

myzudio",28,2852,2024-12-18 13:30:00+00:00
Video,"december feels like a party and were dressed for it 

myzudio",60,2256,2024-12-14 13:18:17+00:00
Sidecar,"find these fits and more on sale for just 499 or less 

drop an emoji to show how youre feeling about the zudio sale 

myzudio 

tcs apply",28,3366,2025-01-04 12:14:00+00:00
Video,"every great journey begins with a single step into the zudio sale 

sale at 499 or less 

myzudio

tcs apply",23,4967,2025-01-03 09:26:31+00:00
Video,"just 2 sisters ready to set the party on 

myzudio",57,3744,2024-12-15 13:22:41+00:00
Video,"denim on repeat 

myzudio",278,19696,2024-12-11 13:18:21+00:00
Video,"comment below the different styles of jeans you know of

myzudio",9,574,2024-12-04 11:28:09+00:00
Sidecar,"comment your fave  bet its all of them 

myzudio",19,737,2024-12-05 11:30:00+00:00
Video,"who wore it best 
trick question we all did 

myzudio",38,3214,2024-12-10 14:16:05+00:00
Video,"fomo friday feat your fashion fit  

myzudio",13,1009,2024-12-06 13:04:16+00:00
Sidecar,"your denim dreams just came true 
swipe for proof 

myzudio",9,1101,2024-12-07 12:45:40+00:00
Video,"pov your fit and your fav treats are in sync 

myzudio",28,2562,2025-01-26 14:06:15+00:00
Sidecar,"chill guy got nothing on us 

myzudio",23,2332,2024-11-23 13:19:21+00:00
Video,"flexing our fits in every angle 

myzudio",17,1017,2024-11-21 14:10:07+00:00
Video,"edit colder than the weather 

myzudio",39,2372,2024-11-30 15:30:02+00:00
Video,"our stylist has four legs and she never misses 

myzudio",41,2972,2024-11-24 12:35:00+00:00
Video,"out here looking cooler than the weather 

myzudio",26,1716,2024-11-22 13:40:31+00:00
Video,"living the dream mountain life

comment your favourite mountain town 

myzudio",34,3643,2024-11-28 15:28:57+00:00
Image,"comment the number of years spent 

myzudio",26,359,2024-12-03 11:30:00+00:00
Video,"straight outta your winter pinterest moodboard 

myzudio",67,3634,2024-12-01 14:30:00+00:00
Video,fomofriday myzudio,15,634,2024-12-01 08:55:02+00:00
Video,"winter cheat codes unlocked 

myzudio",44,3874,2024-11-29 15:01:19+00:00
Video,"fomo friday but make it  

myzudio",14,801,2024-12-14 14:46:25+00:00
Video,"if teleporting to different cities was this cool 

myzudio",71,5248,2024-11-20 13:27:46+00:00
Video,"just a super chill banter between cities
let us know how your city will reply to this chat 

myzudio",19,941,2024-11-10 12:30:00+00:00
Video,"move away hot girl summer its time for cool girl winter 

zudios got your city covered
stay tuned

myzudio",23,667,2024-11-07 12:45:00+00:00
Image,"words cant describe how we feel about winter but a song can  start commenting now 

myzudio",20,470,2024-11-08 13:04:03+00:00
Video,"brring on the chill 

myzudio",34,1251,2024-11-11 13:23:14+00:00
Image,"winter calls for some roasting 

myzudio",231,711,2024-11-12 12:37:18+00:00
Video,"are you ready to chill with us 

myzudio",22,1379,2024-11-14 13:29:00+00:00
Video,"which city are you planning to travel to this szn myzudio has got you sorted 

myzudio",22,848,2024-11-18 15:06:15+00:00
Image,"winters here  lets see what your keyboard thinks about it 

myzudio",142,1097,2024-11-06 12:35:27+00:00
Sidecar,"this diwali memes a lot to us 

myzudio",18,2004,2024-10-31 13:09:01+00:00
Video,"no matter how winter hits were coming with a fit

myzudio",38,1197,2024-11-15 15:12:59+00:00
Video,"your next denim obsession closer than you think 

myzudio",13,817,2024-12-02 13:04:16+00:00
Video,"picking fits is going to be snow much fun 

myzudio",20,972,2024-11-16 14:16:47+00:00
Video,"hoodie thief applications open apply now 

myzudio",22,2031,2024-11-17 14:18:02+00:00
Video,"catch us in myzudio diwali fits everywhere this szn 

myzudio",123,24561,2024-10-26 11:45:05+00:00
Sidecar,"festive fits call for more pics 

myzudio",18,3394,2024-10-13 12:29:31+00:00
Video,"diwali party fits just got lit 

myzudio",19,709,2024-10-29 12:35:34+00:00
Video,"rate our looks from 1 to damn 

myzudio",16,1154,2024-10-18 12:04:59+00:00
Video,"we dont just touch up we glow up 

myzudio",34,1285,2024-10-17 11:30:25+00:00
Video,"the energy we bring to the function is unmatched 

myzudio",43,2969,2024-10-25 13:02:38+00:00
Sidecar,"when the sun goes down the style game goes up 

myzudio",28,2624,2024-10-21 14:11:50+00:00
Video,"whats getting ready without some desi drama 

myzudio",78,3662,2024-10-31 06:53:36+00:00
Sidecar,"getting ready for is the main event 

myzudio",17,4092,2024-10-18 15:16:17+00:00
Sidecar,"pujo vibe with a lot of style

zudio myzudio",7,4356,2024-10-03 14:10:41+00:00
Sidecar,"be a showstopper at every pandal 

myzudio",20,2111,2024-10-05 13:33:07+00:00
Video,"from eating laddoos to eating up these looks were doing it all 

myzudio",34,1897,2024-10-20 05:30:00+00:00
Video,"arriving in style for pujo 

myzudio",8,1764,2024-10-02 13:35:28+00:00
Video,"got chased by the fashion police they said i pass the vibe check 

myzudio",18,1907,2024-09-25 09:18:01+00:00
Video,"work is 95 but fashion is 24x7 

myzudio",39,1299,2024-09-25 14:54:04+00:00
Video,"were not twinning were zudioing this pujo 

stay tuned were taking you on a festive ride 

myzudio",23,2793,2024-09-28 12:48:59+00:00
Video,"pujo is incomplete without pet pujo 

myzudio",9,1412,2024-09-29 13:28:18+00:00
Video,"the green flag in your keyboard is missing because hes here  

myzudio",17,2172,2024-09-26 14:59:47+00:00
Video,"move aside diwali drip incoming 

myzudio",13,1666,2024-10-17 14:19:42+00:00
Video,"this pujo will be no less than a party 

myzudio",107,27816,2024-10-04 14:29:18+00:00
Video,"stepping into a new era dussehra 

myzudio",49,1718,2024-10-11 13:54:07+00:00
Video,"dussehra fits to make you feel golden  

myzudio",96,1703,2024-10-12 13:34:27+00:00
Image,"hes not a green flag but the entire forest

myzudio",11,1065,2024-09-24 10:55:49+00:00
Sidecar,"swipe for some onam vibes 

myzudio  zudio",22,2947,2024-09-07 14:02:58+00:00
Video,"according to my girl math im not broke im just fabulous  

myzudio",8,1967,2024-09-21 10:34:23+00:00
Video,"taking casual dress codes seriously this diwali 

myzudio",136,7822,2024-10-26 14:26:26+00:00
Image,"they dont talk much but their rizz does 

myzudio",8,1193,2024-09-23 14:56:54+00:00
Video,"his fashion game is on point and he knows it  

myzudio",38,1921,2024-09-22 06:18:42+00:00
Video,"fits for every rizz stay tuned 

myzudio zudio",18,647,2024-09-14 12:25:04+00:00
Video,"pov this pookie is about to steal your heart 

myzudio",17,1284,2024-09-23 13:06:05+00:00
Image,"know someone who identifies as a brat tell them we said hi 

myzudio zudio",7,996,2024-09-17 14:21:57+00:00
Image,"we can tell that they never miss a fit check 

myzudio",4,536,2024-09-24 06:53:13+00:00
Image,"p for pookie p for princess coincidence 
i think not 

myzudio",5,916,2024-09-19 13:16:52+00:00
Image,"its his world and were just living in it 

myzudio",12,1073,2024-09-18 12:32:21+00:00
Sidecar,"ceo of fitposting 

shop the aw 24 collection in your nearest zudio store now

myzudio zudio whatsinisyou",21,1864,2024-09-02 13:53:03+00:00
Video,"the onam plan that made it out of the groupchat  

myzudio zudio",113,5664,2024-09-06 13:39:44+00:00
Video,"my wfh assignment to look like a 1010 

shop the aw 24 collection in your nearest zudio store now

myzudio zudio whatsinisyou",16,4432,2024-08-31 12:56:37+00:00
